author_id,article_id,name,leading_author,first_author,career_stage,expertise_level,author_key
348,2492,Ligoxygakis P,False,True,Post-doc,Experienced,ligoxygakis p
352,2976,Levashina EA,False,True,Post-doc,Experienced,levashina ea
367,3347,Rizki TM,True,False,Senior PI,Experienced,rizki tm
369,3389,Rizki TM,True,False,Senior PI,Experienced,rizki tm
378,1702,Williams MJ,True,True,Junior PI,Experienced,williams mj
379,2258,Park JM,False,True,Post-doc,Experienced,park jm
384,2172,Lee WJ,True,False,Junior PI,Experienced,lee wj
393,3002,Pearson A,False,True,PhD,Experienced,pearson a
394,3002,Krieger M,True,False,Senior PI,Newcomer,krieger m
339,2311,Ezekowitz RA,True,False,Senior PI,Newcomer,ezekowitz ra
351,2846,Bulet P,True,False,Senior PI,Experienced,bulet p
343,3438,Ligoxygakis P,True,False,Junior PI,Experienced,ligoxygakis p
365,3447,Rizki TM,True,True,Senior PI,Experienced,rizki tm
347,2410,Reichhart JM,True,False,Senior PI,Experienced,reichhart jm
353,2976,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
357,3014,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
382,3451,Williams MJ,True,False,Junior PI,Experienced,williams mj
388,2989,Engström Y,True,False,Junior PI,Experienced,engstrom y
344,2489,Ligoxygakis P,False,True,Post-doc,Experienced,ligoxygakis p
340,1749,Wang L,False,True,PhD,Experienced,wang l
363,3448,Rizki TM,True,True,Senior PI,Experienced,rizki tm
355,3034,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
356,3014,Fehlbaum P,False,True,PhD,Experienced,fehlbaum p
359,2264,Ehret-Sabatier L,True,False,Junior PI,Experienced,ehret-sabatier l
360,2247,Rabel D,False,True,PhD,Experienced,rabel d
364,3292,Rizki TM,True,True,Senior PI,Experienced,rizki tm
370,3450,Gateff E,True,True,Senior PI,Experienced,gateff e
372,3457,Gateff E,False,True,Post-doc,Experienced,gateff e
376,2898,Williams MJ,False,True,PhD,Newcomer,williams mj
381,3451,Xavier MJ,False,True,PhD,Experienced,xavier mj
374,3030,Konrad L,False,True,Post-doc,Experienced,konrad l
341,1749,Ligoxygakis P,True,False,Junior PI,Experienced,ligoxygakis p
342,3438,Filipe SR,False,True,Post-doc,Experienced,filipe sr
346,2410,Ligoxygakis P,False,True,Post-doc,Experienced,ligoxygakis p
349,2492,Reichhart JM,True,False,Senior PI,Experienced,reichhart jm
350,2846,Uttenweiler-Joseph S,False,True,PhD,Experienced,uttenweiler-joseph s
354,3034,Dimarcq JL,False,True,Post-doc,Experienced,dimarcq jl
361,2247,Bulet P,True,False,Senior PI,Experienced,bulet p
362,3273,Rizki TM,True,True,Post-doc,Experienced,rizki tm
366,3347,Rizki RM,False,True,Post-doc,Experienced,rizki rm
368,3389,Rizki RM,False,True,Post-doc,Experienced,rizki rm
371,3449,Gateff E,True,True,Senior PI,Experienced,gateff e
373,3457,Schneiderman HA,True,False,Senior PI,Experienced,schneiderman ha
377,2898,Eldon ED,True,False,Junior PI,Newcomer,eldon ed
380,2258,Wasserman SA,True,False,Senior PI,Experienced,wasserman sa
383,2172,Ha EM,False,True,PhD,Experienced,ha em
385,2442,Mukae N,False,True,PhD,Newcomer,mukae n
386,2442,Nagata S,True,False,Senior PI,Newcomer,nagata s
387,2989,Petersen UM,False,True,PhD,Experienced,petersen um
389,1758,Davis MM,False,True,PhD,Newcomer,davis mm
390,1758,Hodgetts RB,True,False,Senior PI,Newcomer,hodgetts rb
391,1459,Chen J,False,True,PhD,Newcomer,chen j
